"problem","model","data_file","configuration","status","time","run","solveTime","restarts","backjumps","flatBoolVars","flatIntConstraints","flatIntVars","flatBoolConstraints","trailMem","randomSeed","evaluatedHalfReifiedConstraints","intVars","nodes","peakMem","propagators","boolVariables","initTime","eliminatedImplications","peakDepth","nogoods","optTime","evaluatedReifiedConstraints","flatTime","paths","propagations","nSolutions","variables","failures","baseMem","method","objective"
"prize","data/prize/prize_imp.mzn","data/prize/15-3-5-2.dzn","Chuffed","OPTIMAL_SOLUTION","0.38244250789284706","prize","0.236","57","201","160","221","74","40","0.28","1615429964","58","91","3035","0.0","363","2669","0.005","","13","2320","0.228","133","0.043867","0","699598","57","2762","2320","0.0","maximize","34"
"prize","data/prize/prize_orig.mzn","data/prize/40-5-8-2.dzn","Chuffed","SATISFIED","300.10789335891604","prize","","","","1052","1214","239","193","","","156","","","","","","","39","","","","937","0.075433","0","","258","","","","maximize","-4899"
"prize","data/prize/prize_imp.mzn","data/prize/9-3-3-0.dzn","Chuffed","OPTIMAL_SOLUTION","0.1723526045680046","prize","0.029","18","27","67","104","44","22","0.19","1615429628","34","55","267","0.0","138","989","0.003","","8","135","0.028","52","0.038456","0","26881","18","1046","135","0.0","maximize","17"
"prize","data/prize/prize_imp.mzn","data/prize/32-4-8-7.dzn","Chuffed","OPTIMAL_SOLUTION","259.9448083899915","prize","259.748","279","153098","619","748","159","91","0.63","1615429874","126","193","1064209","0.0","1587","11559","0.019","","30","906148","236.682","558","0.055294","0","829495002","279","11754","906148","0.0","maximize","99"
"prize","data/prize/prize_orig.mzn","data/prize/28-4-7-2.dzn","Chuffed","OPTIMAL_SOLUTION","49.28694682568312","prize","49.094","219","31098","566","680","167","133","0.63","1615429456","108","196","249480","0.0","1305","10746","0.017","27","27","214905","45.758","487","0.055561","0","179858248","219","10944","214905","0.0","maximize","91"
"prize","data/prize/prize_orig.mzn","data/prize/20-4-5-7.dzn","Chuffed","OPTIMAL_SOLUTION","1.2340221889317036","prize","0.988","92","498","322","404","119","93","0.42","1615429153","76","140","12005","0.0","693","5429","0.019","19","19","10382","0.894","267","0.055851","0","5961495","92","5571","10382","0.0","maximize","62"
"prize","data/prize/prize_orig.mzn","data/prize/24-4-6-4.dzn","Chuffed","OPTIMAL_SOLUTION","5.595124065876007","prize","5.418","143","2929","436","534","143","113","0.42","1615429506","92","168","45796","0.0","975","7662","0.014","23","23","40751","4.501","369","0.054951","0","30465310","143","7832","40751","0.0","maximize","35"
"prize","data/prize/prize_orig.mzn","data/prize/30-5-6-9.dzn","Chuffed","OPTIMAL_SOLUTION","73.41260105744004","prize","73.135","201","26433","637","759","179","143","0.63","1615429153","116","210","360115","0.0","1488","12461","0.033","29","30","330144","54.617","552","0.060965","0","293733495","201","12673","330144","0.0","maximize","96"
"prize","data/prize/prize_imp.mzn","data/prize/25-5-5-0.dzn","Chuffed","OPTIMAL_SOLUTION","4.300791069865227","prize","4.133","199","3800","395","496","124","70","0.42","1615430068","98","151","45207","0.0","978","7267","0.012","","24","38747","4.043999","348","0.047407","0","24124182","199","7420","38747","0.0","maximize","41"
"prize","data/prize/prize_imp.mzn","data/prize/35-5-7-5.dzn","Chuffed","OPTIMAL_SOLUTION","180.9640162177384","prize","180.747","303","69719","730","871","174","100","0.63","1615429756","138","211","743271","0.0","1893","13675","0.023","","33","668085","152.42","663","0.06115","0","684651865","303","13888","668085","0.0","maximize","114"
"prize","data/prize/prize_orig.mzn","data/prize/16-4-4-4.dzn","Chuffed","OPTIMAL_SOLUTION","0.4556233771145344","prize","0.3","61","160","224","290","95","73","0.28","1615429384","60","112","3200","0.0","459","3541","0.007","15","16","2410","0.291","181","0.048422","0","1067773","61","3655","2410","0.0","maximize","36"
