"configuration","problem","model","data_file","status","time","peakDepth","flatTime","failures","nodes","flatIntConstraints","eliminatedLinearConstraints","flatBoolVars","paths","run","nSolutions","propagations","solveTime","evaluatedHalfReifiedConstraints","variables","flatBoolConstraints","error","objectiveBound","propagators","restarts","openNodes","method","initTime","solutions","objective","flatIntVars","eliminatedImplications","evaluatedReifiedConstraints"
"SCIP","multi-knapsack","data/mznc2019/multi-knapsack/mknapsack_global.mzn","data/mznc2019/multi-knapsack/mknap1-5.dzn","OPTIMAL_SOLUTION","0.2694365978240967","","0.059106","","29","7","","","0","mznc","1","","0.132","","","","","10618","","","","maximize","","","10618","45","",""
"SCIP","zephyrus","data/mznc2019/zephyrus/zephyrus.mzn","data/mznc2019/zephyrus/12__6__6__3.dzn","OPTIMAL_SOLUTION","5.068016190081835","","0.583857","","8","5312","","88","0","mznc","1","","4.2194","","","","","780","","","","minimize","","","780","2652","","533"
"CBC","bnn-planner","data/mznc2020/bnn-planner/sysadmin_4_2s.mzn","","UNKNOWN","1201.1383419670165","","1.00729","","","1067","","","0","mznc","","","","","","","","","","","","minimize","","","","545","","536"
"Gecode HR","fox-geese-corn","data/mznc2019/fox-geese-corn/foxgeesecorn.mzn","data/mznc2019/fox-geese-corn/foxgeesecorn_60.dzn","SATISFIED","1200.0942370854318","101","0.083019","27819464","55639925","815","","491","0","mznc","16","6901286176","1199.87","380","1132","152","","","959","0","","maximize","0.007554","16","19","480","76","149"
"SCIP HR","amaze","data/mznc2019/amaze/amaze3.mzn","data/mznc2019/amaze/2012-03-19.dzn","SATISFIED","61.383063059300184","","0.292248","","3575","1952","","","0","mznc","1","","60.9271","410","","","","0","","","","satisfy","","","0","1618","","882"
"Gecode","racp","data/mznc2020/racp/racp.mzn","data/mznc2020/racp/j60_9_9_1.25.dzn","UNKNOWN","1200.135992910713","67","0.300858","6433457","12866930","2013","","1921","0","mznc","0","15217504302","1199.67","","1986","1390","","","3243","0","","minimize","0.018019","0","","65","","1921"
"Gurobi","racp","data/mznc2020/racp/racp.mzn","data/mznc2020/racp/j60_48_9_1.0.dzn","SATISFIED","1201.0527912676334","","4.66967","","10270","30041","","","0","mznc","1","","1200.3202","","","","","583.466666667","","","5078","minimize","","","746","12210","","8580"
"Gurobi","gbac","data/mznc2020/gbac/gbac.mzn","data/mznc2020/gbac/UD9-gbac.dzn","SATISFIED","1201.0566373616457","","4.76574","","4243","5839","","","0","mznc","1","","1200.3704","","","","","137.267122109","","","1395","minimize","","","257","59578","","2727"
"Gecode","collaborative-construction","data/mznc2020/collaborative-construction/macc.mzn","data/mznc2020/collaborative-construction/455.dzn","UNKNOWN","1201.0267557688057","234","2.01392","448737","897674","30174","","27968","0","mznc","0","846822763","1197.97","","45409","19809","","","45459","0","","minimize","0.399086","0","","15964","","15214"
"Gurobi HR","multi-knapsack","data/mznc2019/multi-knapsack/mknapsack_global.mzn","data/mznc2019/multi-knapsack/mknap2-10.dzn","OPTIMAL_SOLUTION","0.134136613458395","","0.055088","","1","4","","","0","mznc","1","","0.1066","","","","","624319","","","","maximize","","","624319","108","",""
"Gurobi","minimal-decision-sets","data/mznc2020/minimal-decision-sets/sparse_mds.mzn","data/mznc2020/minimal-decision-sets/australian_train5.dzn","SATISFIED","1201.0756061673164","","7.04038","","4758","45669","","","0","mznc","","","1200.6188","","","","","109.209302326","","","1197","minimize","","","300","41335","","10770"
"Gecode HR","triangular","data/mznc2019/triangular/triangular.mzn","data/mznc2019/triangular/n23.dzn","SATISFIED","1200.1992041170597","57","0.540132","74551422","149102906","12651","","","0","mznc","8","6411603273","1199.43","","530","","","","12651","0","","maximize","0.048624","8","50","277","",""
"Gurobi","ptv","data/mznc2019/ptv/pax_model.mzn","data/mznc2019/ptv/pax_period_20_1c.dzn","OPTIMAL_SOLUTION","1.866242527961731","","1.57387","","0","3642","","","0","mznc","1","","1.7272","","","","","1521","","","","minimize","","","1521","5843","","3547"
"CBC HR","gbac","data/mznc2020/gbac/gbac.mzn","data/mznc2020/gbac/UD10-gbac.dzn","UNKNOWN","1201.1428972519934","","1.19423","","","1596","","","0","mznc","","","","","","","","","","","","minimize","","","","13209","","1128"
"Gecode","zephyrus","data/mznc2019/zephyrus/zephyrus.mzn","data/mznc2019/zephyrus/12__10__8__3.dzn","UNKNOWN","1200.081446699798","96","0.105424","49656377","99312792","677","","403","0","mznc","0","5719750637","1199.87","","1286","383","","","929","0","","minimize","0.006477","0","","249","","402"
"Gurobi HR","racp","data/mznc2020/racp/racp.mzn","data/mznc2020/racp/j60_13_4_1.0.dzn","SATISFIED","1201.0238016657531","","5.02468","","6654","30192","","","0","mznc","1","","1200.3032","2664","","","","805","","","2671","minimize","","","945","13044","","6785"
"CPLEX","soccer-computational","data/mznc2020/soccer-computational/ecp.mzn","data/mznc2020/soccer-computational/xIGData_24_24_16_1.dzn","SATISFIED","191.83762509003282","","0.897883","","29987","5976","","","0","mznc","1","","190.6874","","","","","0","","","","satisfy","","","0","4791","","2392"
"CBC HR","minimal-decision-sets","data/mznc2020/minimal-decision-sets/sparse_mds.mzn","data/mznc2020/minimal-decision-sets/breast-cancer_train4.dzn","SATISFIED","1196.2258526533842","","2.47895","","2918","15452","504","","0","mznc","1","","1192.9813","1019","","","","34","","","-1","minimize","","","136","10564","","1519"
"Gecode HR","whirlpool","data/mznc2020/whirlpool/whirlpool-x.mzn","data/mznc2020/whirlpool/d21.dzn","UNKNOWN","1200.1630296297371","98","0.11773","6718701","13437447","3613","","1600","0","mznc","0","5408830244","1199.85","","4051","","","","3613","0","","satisfy","0.027301","0","","2451","","1600"
"CPLEX","fox-geese-corn","data/mznc2019/fox-geese-corn/foxgeesecorn.mzn","data/mznc2019/fox-geese-corn/foxgeesecorn_60.dzn","OPTIMAL_SOLUTION","592.9013133123517","","0.370909","","96382","2771","","","0","mznc","1","","592.2709","","","","","25","","","","maximize","","","25","1985","","795"
"SCIP","amaze","data/mznc2019/amaze/amaze3.mzn","data/mznc2019/amaze/2012-07-27.dzn","SATISFIED","203.60711876302958","","0.283303","","13783","1984","","","0","mznc","1","","203.1547","","","","","0","","","","satisfy","","","0","2811","","1971"
"CBC","kidney-exchange","data/mznc2019/kidney-exchange/ccmcp.mzn","data/mznc2019/kidney-exchange/3_20_0.40_3.dzn","UNKNOWN","1201.1457135342062","","0.334221","","","1349","","380","0","mznc","","","","","","","","","","","","maximize","","","","1055","","800"
"Gecode HR","is","data/mznc2020/is/model.mzn","data/mznc2020/is/Ws5Q6fhGi5.dzn","SATISFIED","1200.2344121187925","111","2.6776","39453057","78906693","3172","","2322","0","mznc","24","4528335300","1197.3","2404","3070","826","","","2900","0","","minimize","0.076175","24","186368","653","239","175"
